"","name","latitude","longitude","id","observed_on","month","day","t_r"
"1","Heloniopsis umbellata",25.16529734,121.5588878,9831364,2018,2,12,116
"2","Heloniopsis umbellata",25.16995752,121.5513222,10427280,2018,3,3,121
"3","Heloniopsis umbellata",24.57723243,121.4121484,14642112,2010,2,9,78
"4","Heloniopsis umbellata",24.505106,121.525898,18875504,2018,4,3,116
"5","Heloniopsis umbellata",24.37821667,121.3950083,19655032,2018,4,18,85
"6","Heloniopsis umbellata",25.16588609,121.5541496,19945324,2019,1,29,111
"7","Heloniopsis umbellata",25.16505814,121.5835953,19987206,2019,1,31,111
"8","Heloniopsis umbellata",24.49594256,121.535667,20023322,2019,2,2,70
"9","Heloniopsis umbellata",24.53847047,121.5114622,20048884,2019,2,1,116
"10","Heloniopsis umbellata",25.16509116,121.5591609,20181652,2019,2,7,116
"11","Heloniopsis umbellata",24.66873921,121.281732,20278643,2019,2,11,91
"12","Heloniopsis umbellata",25.1797792,121.5221929,20301796,2019,2,8,105
"13","Heloniopsis umbellata",25.24472237,121.5149994,20379971,2019,2,16,145
"14","Heloniopsis umbellata",24.50847,121.61225,20549412,2019,2,21,69
"15","Heloniopsis umbellata",24.4908716,121.1278182,20847995,2019,2,25,75
"16","Heloniopsis umbellata",24.6658514,121.2785361,21081909,2015,2,28,93
"17","Heloniopsis umbellata",25.17,121.551111,21319342,2019,3,17,121
"18","Heloniopsis umbellata",25.19361167,121.5379633,21479712,2019,2,2,112
"19","Heloniopsis umbellata",24.39181519,121.3526917,21509203,2019,3,18,83
"20","Heloniopsis umbellata",24.50184167,121.5249783,22995153,2019,2,17,68
"21","Heloniopsis umbellata",25.18526706,121.5269015,23858091,2019,2,12,110
"22","Heloniopsis umbellata",24.497724,121.5350318,24267448,2018,3,28,87
"23","Heloniopsis umbellata",24.497724,121.5350318,24267449,2018,3,28,87
"24","Heloniopsis umbellata",25.16738333,121.5762778,31459883,2019,2,7,124
"25","Heloniopsis umbellata",24.50814814,121.1150471,32212308,2008,1,31,53
"26","Heloniopsis umbellata",23.6368442,120.7949225,33872573,2018,1,20,81
"27","Heloniopsis umbellata",23.6394696,120.7922119,34101592,2018,1,20,81
"28","Heloniopsis umbellata",24.89050191,121.3994944,37056112,2019,12,28,140
"29","Heloniopsis umbellata",25.17574493,121.5440222,37265050,2020,1,3,110
"30","Heloniopsis umbellata",24.66481667,121.27482,37359973,2020,1,7,85
"31","Heloniopsis umbellata",25.19430144,121.5608883,37674646,2020,1,15,124
"32","Heloniopsis umbellata",25.17822457,121.5221787,37939140,2020,1,11,102
"33","Heloniopsis umbellata",23.64079206,120.7901241,38055213,2020,1,18,83
"34","Heloniopsis umbellata",25.16518278,121.5589692,38118709,2020,1,30,112
"35","Heloniopsis umbellata",25.16953333,121.561395,38175904,2020,2,1,114
"36","Heloniopsis umbellata",25.18021191,121.5457006,38180799,2020,2,1,114
"37","Heloniopsis umbellata",25.18336333,121.5331283,38241477,2020,1,28,107
"38","Heloniopsis umbellata",25.18564167,121.5274583,38286482,2020,2,2,110
"39","Heloniopsis umbellata",24.53806631,121.0897656,38352908,2020,1,23,83
"40","Heloniopsis umbellata",24.66264334,121.2739007,38446676,2020,2,9,90
"41","Heloniopsis umbellata",25.166945,121.507255,38462944,2020,2,9,112
"42","Heloniopsis umbellata",25.19061257,121.5813982,38531920,2020,2,11,136
"43","Heloniopsis umbellata",25.187869,121.524374,38534290,2020,2,11,112
"44","Heloniopsis umbellata",25.17704329,121.5222799,38538513,2020,2,9,105
"45","Heloniopsis umbellata",24.50174636,121.5248968,38663439,2020,2,15,68
"46","Heloniopsis umbellata",25.18596667,121.5263367,38752504,2020,2,14,110
"47","Heloniopsis umbellata",25.1744442,121.5500031,38831175,2020,2,19,104
"48","Heloniopsis umbellata",25.16861153,121.5555573,38831194,2020,2,19,104
"49","Heloniopsis umbellata",25.16861153,121.5555573,38831199,2020,2,19,104
"50","Heloniopsis umbellata",25.16861153,121.5555573,38831203,2020,2,19,104
"51","Heloniopsis umbellata",23.62106833,120.8015017,38868273,2020,2,19,86
"52","Heloniopsis umbellata",25.16928833,121.553405,39079983,2020,2,23,104
"53","Heloniopsis umbellata",25.16993333,121.551225,39139559,2020,2,24,104
"54","Heloniopsis umbellata",25.17142193,121.5596994,39148670,2020,2,21,114
"55","Heloniopsis umbellata",24.93982833,121.4617083,39189827,2020,2,15,148
"56","Heloniopsis umbellata",24.50842094,121.6122665,39234619,2020,2,26,69
"57","Heloniopsis umbellata",24.5161633,121.6027308,39440311,2020,2,18,70
"58","Heloniopsis umbellata",24.49625536,121.5352722,39568174,2020,3,1,87
"59","Heloniopsis umbellata",24.49903488,121.5238724,39879616,2020,3,12,79
"60","Heloniopsis umbellata",24.4990654,121.5238266,39879623,2020,3,12,79
"61","Heloniopsis umbellata",24.49900414,121.5237723,39888200,2020,3,12,79
"62","Heloniopsis umbellata",24.68173389,121.50349,39924995,2020,3,7,88
"63","Heloniopsis umbellata",24.69568746,121.4704073,40072448,2020,3,7,93
"64","Heloniopsis umbellata",24.54279851,121.5238168,40279853,2020,3,20,151
"65","Heloniopsis umbellata",24.51248,121.6115033,40587085,2020,3,22,86
"66","Heloniopsis umbellata",24.38494167,121.2964383,40609093,2020,3,22,70
"67","Heloniopsis umbellata",25.16816825,121.555989,40728231,2020,2,12,104
"68","Heloniopsis umbellata",24.50933123,121.1153402,40741633,2020,3,24,86
"69","Heloniopsis umbellata",25.16737526,121.5649901,42836791,2020,2,14,114
"70","Heloniopsis umbellata",25.16924424,121.5644895,42836793,2020,2,14,114
"71","Heloniopsis umbellata",24.49941333,121.5160217,42938645,2020,3,21,96
