,decimalLongitude,decimalLatitude,key of GBIF,scientificName,year,month,day,mon_1,mon_2,mon_3,mon_4,mon_5,mon_6,mon_7,mon_8,mon_9,mon_10,mon_11,mon_12
1,-82.57671,35.202917,2596154211,Helonias bullata L.,2020,3,25,16,33,72,116,161,202,219,212,177,118,69,29
2,-82.718627,35.089694,2603386398,Helonias bullata L.,2020,4,16,17,33,72,117,161,202,219,212,177,118,69,29
3,-83.00483,35.110178,2603413056,Helonias bullata L.,2020,4,14,12,29,67,111,156,198,215,208,173,114,64,24
4,-75.558971,38.828432,2609197697,Helonias bullata L.,2020,4,14,25,33,71,123,174,226,255,247,212,152,99,49
5,-74.542094,39.68523,2626190240,Helonias bullata L.,2020,5,11,17,24,60,110,163,216,248,241,206,147,95,43
6,-82.748442,35.061556,2626498137,Helonias bullata L.,2020,5,13,19,36,75,119,164,205,222,215,180,121,71,31
7,-82.746403,35.064615,2236914862,Helonias bullata L.,2019,4,17,19,36,75,119,164,205,222,215,180,121,71,31
8,-82.668195,35.037788,2237508174,Helonias bullata L.,2019,4,21,45,62,103,150,195,235,252,244,209,149,98,56
9,-71.068253,42.574474,2451714610,Helonias bullata L.,2019,5,28,-22,-12,27,81,136,186,219,212,174,115,64,9
10,-83.128007,35.125903,2265892402,Helonias bullata L.,2019,6,12,1,17,55,98,143,184,202,195,161,101,52,13
11,-83.111173,35.104832,2447919428,Helonias bullata L.,2019,10,11,7,23,62,105,150,192,209,202,167,108,58,19
12,-83.199466,35.16533,1838317735,Helonias bullata L.,2018,4,13,-1,15,53,96,141,182,200,193,159,99,50,11
13,-78.811232,37.878158,1847492290,Helonias bullata L.,2018,4,26,21,35,79,136,183,229,251,240,200,138,87,40
14,-82.708884,35.242154,1880496744,Helonias bullata L.,2018,6,16,28,45,85,130,175,217,233,226,191,131,81,40
15,-75.482044,38.857072,2350448640,Helonias bullata L.,2018,6,30,25,32,69,120,172,224,254,246,212,152,99,49
16,-82.694692,35.201394,2573782936,Helonias bullata L.,2018,6,16,16,33,72,117,161,203,219,212,178,118,69,29
17,-82.61466,35.232537,2596439164,Helonias bullata L.,2018,7,17,24,41,80,126,170,212,228,221,186,127,77,36
18,-75.374005,39.430358,2251825448,Helonias bullata L.,2018,11,24,16,25,66,120,173,225,255,246,209,147,94,41
19,-82.634122,35.295072,1500335168,Helonias bullata L.,2017,4,29,23,40,79,125,170,211,228,221,185,126,76,35
20,-82.764905,35.181609,1805376412,Helonias bullata L.,2017,4,20,28,45,84,130,175,216,233,226,191,131,81,40
21,-82.363352,34.946855,1805384029,Helonias bullata L.,2017,4,20,49,66,107,154,199,239,255,247,212,153,103,61
22,-82.754466,35.282826,2609281212,Helonias bullata L.,2017,11,6,21,38,77,123,168,209,226,219,184,124,74,34
23,-76.668084,39.158101,1990443678,Helonias bullata L.,2016,4,15,15,27,72,130,184,232,258,246,207,143,90,38
24,-82.781463,35.031812,2573794301,Helonias bullata L.,2015,7,30,29,46,86,131,176,217,233,226,191,132,82,41
25,-75.017127,39.447662,1571062316,Helonias bullata L.,2013,8,31,17,24,62,113,166,219,250,243,207,147,95,43
26,-76.585643,39.070183,891146344,Helonias bullata L.,2012,3,17,18,29,74,132,185,234,260,248,209,145,92,40
27,-74.318304,40.051295,1993746125,Helonias bullata L.,2012,4,24,11,19,56,108,162,214,246,239,202,142,90,38
28,-76.493634,39.087696,2251846927,Helonias bullata L.,2012,4,1,18,30,74,133,186,235,261,249,210,146,93,41
29,-74.188012,40.124435,1993746047,Helonias bullata L.,2010,5,4,11,19,56,107,160,212,245,238,202,142,91,39
30,-82.786816,35.380221,1850955325,Helonias bullata L.,2005,5,7,-12,3,40,83,127,169,187,180,145,87,39,1
31,-78.821364,37.924166,2460143220,Helonias bullata L.,2003,4,29,21,34,78,135,183,228,250,239,200,137,87,39
32,-78.855031,37.826317,2460151376,Helonias bullata L.,2003,5,14,22,36,80,137,184,230,251,241,201,138,88,41
33,-83.25,35.46666,1258603728,Helonias bullata L.,1976,5,11,21,38,78,123,169,210,227,221,185,125,74,33
34,-83.25,35.46666,1258630424,Helonias bullata L.,1976,5,11,21,38,78,123,169,210,227,221,185,125,74,33
35,-74.316407,40.013969,1929153150,Helonias bullata L.,1939,5,6,12,20,57,109,162,214,246,239,203,143,91,39
36,-74.996287,39.821752,1929907452,Helonias bullata L.,1932,4,30,11,21,61,116,171,222,252,243,205,143,90,38
37,-75.258146,39.490513,1928296907,Helonias bullata L.,1924,9,1,16,25,64,118,172,224,253,245,208,146,93,41
38,-74.217644,40.097893,1929027524,Helonias bullata L.,1921,5,29,11,19,56,107,160,213,245,238,202,142,90,39
39,-74.625715,40.822877,1928525663,Helonias bullata L.,1909,6,20,-15,-4,39,97,154,203,231,221,181,118,66,12
40,-74.734052,40.87121,1929220194,Helonias bullata L.,1906,5,13,-17,-6,37,97,154,203,230,220,180,116,64,10
41,-74.75166,40.86305,415933286,Helonias bullata L.,1906,5,13,-17,-6,37,96,153,203,230,220,179,116,64,10
42,-74.982944,39.811503,1928770497,Helonias bullata L.,1906,6,2,12,21,61,116,170,222,252,243,205,143,90,38
43,-74.734052,40.87121,1929045563,Helonias bullata L.,1905,5,7,-17,-6,37,97,154,203,230,220,180,116,64,10
44,-74.734052,40.87121,1929062247,Helonias bullata L.,1905,5,7,-17,-6,37,97,154,203,230,220,180,116,64,10
45,-73.877023,40.862289,1929407669,Helonias bullata L.,1905,5,18,-1,9,49,104,159,210,241,233,194,133,81,28
46,-74.89,39.7683,1930856616,Helonias bullata L.,1905,5,27,12,21,60,114,167,219,250,241,204,143,90,38
47,-74.75166,40.86305,606653044,Helonias bullata L.,1905,5,5,-17,-6,37,96,153,203,230,220,179,116,64,10
48,-74.75166,40.86305,606650968,Helonias bullata L.,1905,6,11,-17,-6,37,96,153,203,230,220,179,116,64,10
49,-74.734052,40.87121,1930718120,Helonias bullata L.,1904,5,22,-17,-6,37,97,154,203,230,220,180,116,64,10
50,-75.0249,39.5465,1056514445,Helonias bullata L.,1900,5,NA,15,23,62,114,167,220,250,243,207,146,93,41
51,-75.74965,39.68372,606650967,Helonias bullata L.,1896,9,4,10,21,65,123,178,229,256,245,206,142,88,35
52,-75.13,39.86972,606650964,Helonias bullata L.,1892,4,23,11,21,63,119,174,226,254,245,206,143,90,37
53,-75.13,39.86972,606650966,Helonias bullata L.,1892,4,23,11,21,63,119,174,226,254,245,206,143,90,37
54,-75,40,1228275077,Helonias bullata L.,1892,5,7,9,19,61,117,172,223,252,243,204,141,88,35
55,-74.357649,40.523438,1929933754,Helonias bullata L.,1892,6,NA,4,14,54,111,166,217,247,238,199,137,84,31
56,-75,40,1228292400,Helonias bullata L.,1890,4,25,9,19,61,117,172,223,252,243,204,141,88,35
57,-74.217644,40.097893,1928285002,Helonias bullata L.,1890,5,1,11,19,56,107,160,213,245,238,202,142,90,39
58,-74.290702,40.477884,1928400642,Helonias bullata L.,1890,5,29,4,14,54,109,164,216,246,237,199,137,85,32
